factor,horizon,corr_with_forward_return,corr_with_big_up,corr_with_big_down,corr_with_clean_direction,mean_when_big_up,mean_when_big_down,mean_when_clean_up,mean_when_clean_down,difference_big_up_down,missing_rate,max_abs_tail_corr
volatility_5,5,0.1827146079385466,0.20303387867401054,-0.08615615753889994,0.16799503521868772,0.017615637500131513,0.013504229428875,0.01678387787292948,0.013285207253923235,0.004111408071256513,0.0015625,0.20303387867401054
bollinger_width,20,0.3116619080578416,0.20269810775096,-0.08431315747198782,0.16602049914201145,0.1425727550239184,0.10781789673377735,0.13730873736643975,0.1068395759960247,0.034754858290141036,0.004724409448818898,0.20269810775096
breakout_high_prior_60,10,-0.15705677059613937,-0.20193149844166988,0.07730363060590449,-0.13959887636532686,-0.07511772925864461,-0.04979921711712449,-0.0684152736399986,-0.04990415452180329,-0.025318512141520123,0.015665796344647518,0.20193149844166988
downside_return_sum_20,5,-0.18391251835738442,-0.2017484442524928,0.0518978182180582,-0.15085426817387856,-0.1397096603274914,-0.11100713171535095,-0.1327281093254642,-0.10757692306056085,-0.028702528612140454,0.0046875,0.2017484442524928
m5_intraday_volatility_mean_5,1,0.0685682122879906,0.20020125316810444,0.009535187315520935,0.13582788222842856,0.0021738102123035584,0.0019505229699100753,0.002128143211890969,0.001864000800339679,0.00022328724239348307,0.8373180873180873,0.20020125316810444
sell_pressure_volume_20,10,0.22689559743918244,0.19997795987632422,-0.0673551671626929,0.13631422731412737,0.06628628018612996,0.048174257709248804,0.06159345596917861,0.04794956155052892,0.018112022476881158,0.004699738903394256,0.19997795987632422
m5_intraday_range_mean_5,3,0.17604722659822641,0.199894443974118,0.007799703630969016,0.11413048695848788,0.03290896163403247,0.028457467389349896,0.031051119623789442,0.02681823650652401,0.004451494244682577,0.8381893860561914,0.199894443974118
m5_last_hour_volume_share_std_5,5,0.20416778696840776,0.19976742991265106,-0.08072210717341192,0.17701487338465016,0.02289271707974642,0.018666401831150876,0.02250030096182665,0.018422027198674095,0.004226315248595545,0.8390625,0.19976742991265106
breakout_high_prior_60,5,-0.12407071107511405,-0.19957710554272776,0.05108906619336229,-0.1476017260241044,-0.07593750440752185,-0.053573679205659405,-0.07022892763174314,-0.050658987060710245,-0.022363825201862447,0.015625,0.19957710554272776
drawdown_20,5,-0.14904974997709394,-0.19949643465889227,0.0481663566897751,-0.14188220816612437,-0.04792142518634709,-0.0317659468492417,-0.0437137845921612,-0.029775660647309205,-0.016155478337105386,0.0046875,0.19949643465889227
